Band no.,1,2,3,4,5,6,7,8
Solid angle, 0.0435, 0.0416, 0.0474, 0.0407, 0.0429, 0.0445, 0.0455, 0.0344
Number of zones,30,30,24,24,18,12,6,1
Altitude of band centre,6,18,30,42,54,66,78,90
Azimuth increment,12,12,15,20,30,60,360,
